epoch;category_prediction_acc;category_prediction_loss;loss;word_prediction_acc;word_prediction_loss
0;0.5573783494318048;9.03060282894436;13.586457129691821;0.2268274675657178;4.555854299746718
1;0.549453470585437;8.70435100501243;12.55119792115749;0.2945859640635017;3.8468469181100087
2;0.5474619542687116;8.667713579786776;12.39685156458964;0.3052361609579951;3.7291379828909985
3;0.5473173521628675;8.648887817355314;12.326830983520985;0.3097337540703199;3.677943168196486
4;0.5462553180393098;8.637008608843129;12.2858788476626;0.31199127351479994;3.648870235174082
5;0.5455578466876921;8.628225487199392;12.257499764333836;0.31401444402381423;3.629274275080773
6;0.5455058690650156;8.622035334413097;12.237511472780488;0.3149347536953256;3.6154761349113196
7;0.5456821253632772;8.617136056717023;12.221726132474426;0.31585020732599395;3.6045900749020694
8;0.5455425591515988;8.613195663650812;12.208980493278979;0.3166350874132454;3.5957848338891916
9;0.5458671944764399;8.610201725297495;12.199186760261627;0.31711925267332225;3.588985036039015
0;0.552543351405674;9.11610157144716;13.599222915580071;0.2237651043104825;4.483121345109898
1;0.5473785023071334;8.71491035437989;12.44881757817166;0.3014205718078078;3.733907222102153
2;0.5477398277185683;8.673355810013254;12.286043640482479;0.31224828397410004;3.6126878291519398
3;0.547768963963777;8.652337392538765;12.209659238255133;0.3176771578132724;3.5573218456303497
4;0.5480709377644942;8.639162154303852;12.163132226867518;0.32093304328982997;3.523970073472987
5;0.5483088837670915;8.629625542370402;12.131480420695594;0.32306466537833045;3.501854879948043
6;0.5488205665920843;8.622705474785189;12.107943088273316;0.3247676968967362;3.485237614400151
7;0.5493353069243504;8.617328301389529;12.090592880120347;0.32590562914062604;3.473264580894263
8;0.5494842255109678;8.612866148461638;12.076262310589058;0.32701154748538347;3.4633961649595832
9;0.5500444687447076;8.608948392057611;12.06441658673194;0.32767754449797615;3.4554681924999087
10;0.5502593935165517;8.60610870382933;12.05459756104383;0.32851386264779936;3.448488856224735
11;0.5506847467259997;8.603537961246674;12.046880168027908;0.3288356203187568;3.443342205023052
12;0.5509894183272914;8.60119424412358;12.039447305500024;0.32956366674255305;3.438253065899125
13;0.5512077603130918;8.59912601615907;12.033209466358192;0.3300449543487329;3.4340834491672485
14;0.5513115357049452;8.597378982352966;12.027832803046653;0.3302976483273214;3.430453821946009
15;0.5515270000369557;8.595528906928614;12.022697721973536;0.3306870308637422;3.427168816206724
16;0.5517809529891138;8.594503808995253;12.018568587056363;0.33112101703485974;3.424064778238551
17;0.5518028950997218;8.592940002459972;12.01461904797253;0.331149433866574;3.421679042241301
18;0.5517521764506149;8.59206143662293;12.011568888269915;0.3314001494581843;3.419507451394504
19;0.5522127809198234;8.591032455489604;12.008673587217467;0.33153216182847467;3.417641132991162
